INFO 2025-12-10 06:15:29,142 autoreload 8652 22668 Watching for file changes with StatReloader
WARNING 2025-12-10 06:15:49,056 log 8652 23396 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:15:49,056 log 8652 15852 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:15:49,058 log 8652 18664 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:15:49,060 log 8652 20252 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:15:49,061 log 8652 13904 Not Found: /static/admin/css/login.css
WARNING 2025-12-10 06:15:49,062 log 8652 16836 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:15:49,071 log 8652 16836 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:15:49,076 log 8652 16836 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:15:49,077 log 8652 13904 Not Found: /static/admin/css/login.css
WARNING 2025-12-10 06:15:49,078 log 8652 20252 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:15:49,110 log 8652 13904 Not Found: /favicon.ico
WARNING 2025-12-10 06:16:00,170 log 8652 13904 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:16:00,173 log 8652 20252 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:16:00,173 log 8652 16836 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:16:00,174 log 8652 13904 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:16:00,175 log 8652 18664 Not Found: /static/admin/css/dashboard.css
WARNING 2025-12-10 06:16:00,177 log 8652 15852 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:16:00,183 log 8652 15852 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:16:00,184 log 8652 18664 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:16:24,866 log 8652 15852 Unauthorized: /api/v1/
WARNING 2025-12-10 06:16:24,990 log 8652 15852 Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING 2025-12-10 06:16:24,996 log 8652 20252 Not Found: /static/rest_framework/css/prettify.css
WARNING 2025-12-10 06:16:24,997 log 8652 16836 Not Found: /static/rest_framework/css/default.css
WARNING 2025-12-10 06:16:24,991 log 8652 18664 Not Found: /static/rest_framework/css/bootstrap-tweaks.css
WARNING 2025-12-10 06:16:24,998 log 8652 13904 Not Found: /static/rest_framework/js/jquery-3.5.1.min.js
WARNING 2025-12-10 06:16:24,999 log 8652 23396 Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2025-12-10 06:16:25,001 log 8652 15852 Not Found: /static/rest_framework/js/csrf.js
WARNING 2025-12-10 06:16:25,003 log 8652 20252 Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2025-12-10 06:16:25,003 log 8652 16836 Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2025-12-10 06:16:25,004 log 8652 18664 Not Found: /static/rest_framework/js/default.js
WARNING 2025-12-10 06:16:37,772 log 8652 18664 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:16:37,774 log 8652 16836 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:16:37,774 log 8652 20252 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:16:37,775 log 8652 15852 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:16:37,775 log 8652 13904 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:16:37,778 log 8652 18664 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:16:37,781 log 8652 16836 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-10 06:16:37,782 log 8652 15852 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-12-10 06:16:37,784 log 8652 18664 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-12-10 06:16:37,782 log 8652 20252 Not Found: /static/admin/js/core.js
WARNING 2025-12-10 06:16:37,785 log 8652 13904 Not Found: /static/admin/js/actions.js
WARNING 2025-12-10 06:16:37,787 log 8652 16836 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:16:37,788 log 8652 18664 Not Found: /static/admin/js/urlify.js
WARNING 2025-12-10 06:16:37,790 log 8652 15852 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-12-10 06:16:37,791 log 8652 20252 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-10 06:16:37,792 log 8652 13904 Not Found: /static/admin/js/prepopulate_init.js
WARNING 2025-12-10 06:16:37,798 log 8652 23396 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:16:37,799 log 8652 13904 Not Found: /static/admin/js/change_form.js
WARNING 2025-12-10 06:16:37,800 log 8652 20252 Not Found: /static/admin/css/responsive.css
INFO 2025-12-10 06:23:03,141 autoreload 20416 20156 Watching for file changes with StatReloader
WARNING 2025-12-10 06:23:10,196 log 20416 6216 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:23:10,197 log 20416 12712 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:23:10,197 log 20416 4012 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:23:10,199 log 20416 9456 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:23:10,202 log 20416 4444 Not Found: /static/admin/css/dashboard.css
WARNING 2025-12-10 06:23:10,203 log 20416 11996 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:23:10,212 log 20416 11996 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:23:10,217 log 20416 11996 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:23:10,217 log 20416 4444 Not Found: /static/admin/css/dashboard.css
WARNING 2025-12-10 06:23:10,218 log 20416 9456 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:23:32,234 log 20416 9456 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:23:32,236 log 20416 4444 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:23:32,238 log 20416 4012 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:23:32,238 log 20416 12712 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:23:32,237 log 20416 11996 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:23:32,240 log 20416 9456 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:23:32,242 log 20416 4444 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-10 06:23:32,248 log 20416 12712 Not Found: /static/admin/js/core.js
WARNING 2025-12-10 06:23:32,249 log 20416 9456 Not Found: /static/admin/js/actions.js
WARNING 2025-12-10 06:23:32,247 log 20416 4012 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-12-10 06:23:32,249 log 20416 11996 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-12-10 06:23:32,252 log 20416 4444 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:23:32,252 log 20416 12712 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:23:32,255 log 20416 11996 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-12-10 06:23:32,256 log 20416 4012 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-10 06:23:32,254 log 20416 9456 Not Found: /static/admin/js/urlify.js
WARNING 2025-12-10 06:23:32,258 log 20416 11996 Not Found: /static/admin/js/prepopulate_init.js
WARNING 2025-12-10 06:23:32,265 log 20416 11996 Not Found: /static/admin/js/nav_sidebar.js
